,Manufacturer,Classification,Designation,Primary Data,,,Refractive Indices,,,,,Dispersions,,,,,,Coefficients of Dispersion Formulae,,,,,,,Relative Internal Transmittance (at 10mm Thickness),,,,,,,,,,,Remarks,,,
,manufacturer,classification,glass,nd,vd,ve,nC,nd,ne,nF,ng,nF-nC,nd-nC,ng-nF,"?d,C","?g,F","??g,F",Formula,a1,a2,a3,a4,a5,a6,?0.80,?0.05,800nm,700nm,600nm,550nm,500nm,460nm,400nm,380nm,Std. Deviation,Precision Molding, i-line Capable,High Homogeneity,Other Comments
354,Hoya,Lanthanide,MP-TAFD405,1.9515,29.83,29.61,1.9422,1.9515,1.959,1.9741,1.9931,0.0319,0.0093,0.019,0.2906,0.595298,0.001,"Schott, n=2 m=4",3.654235200E+00,-2.12E-01,6.508827157E-01,1.319260974E-01,-2.56E-02,1.319370945E-02,415,364,99.90%,99.80%,99.60%,98.90%,96.50%,92.40%,69.40%,40.20%,21.55%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
117,Ohara,Lanthanide,S-LAH98,1.9538,32.3,32.1,1.9451,1.9538,1.9607,1.9746,1.9921,0.02951,0.008609,0.017423,0.2918,0.5905,0.0013,"Sellmeier, n=3",2.285106290E+00,3.855322640E-01,2.065511200E+00,1.221789620E-02,5.147523420E-02,1.459208700E+02,390,352,99.90%,99.80%,99.80%,99.60%,98.60%,96.70%,86.00%,68.00%,11.34%,Not Specified,Not Specified,Available,
620,Hikari,Lanthanide,J-LASFH15HS,1.95,29.37,29.14,1.9406,1.95,1.9576,1.973,1.9924,0.03235,0.0094,0.0194,0.2898,0.6001,0.005,"Sellmeier, n=3",1.128081400E-01,8.533783360E+01,2.630464330E-02,5.512365150E-02,4.421436410E-01,7.630302790E-03,400,361,99.80%,99.90%,99.70%,99.40%,98.00%,95.70%,80.00%,52.00%,16.96%,Not Specified,Not Specified,Not Specified,Transmission improved type.
210,Hoya,Niobophosphate,FDS18-W,1.9459,17.98,17.84,1.9312,1.9459,1.9583,1.9838,2.0183,0.0526,0.0147,0.0344,0.2797,0.654563,0.0386,"Schott, n=2 m=4",3.563784000E+00,-2.54E-02,5.840165900E-02,9.231098300E-03,-9.55E-04,1.177745600E-04,415,390,99.80%,99.80%,99.60%,99.10%,98.00%,96.30%,36.00%,0.00%,38.62%,Limited,Not Specified,Not Specified,Transmission improved type.
250,Hoya,Lanthanide,TaFD45,1.9538,32.32,32.08,1.9451,1.9538,1.9607,1.9747,1.9921,0.02952,0.00862,0.01741,0.2918,0.58977,0,"Schott, n=2 m=4",3.672962000E+00,-1.52E-02,4.571870000E-02,2.186221000E-03,-9.94E-05,1.490466000E-05,392,356,99.90%,99.90%,99.90%,99.70%,98.60%,96.40%,85.70%,66.80%,11.77%,Not Specified,Not Specified,Not Specified,
624,Hikari,Lanthanide,J-LASFH21,1.9538,32.33,32.1,1.9451,1.9538,1.9607,1.9746,1.9921,0.029496,0.008605,0.017418,0.2917,0.5905,0.0004,"Sellmeier, n=3",1.173359920E-01,8.952099690E+01,2.488043480E-02,5.107310760E-02,4.460884290E-01,7.160232800E-03,392,357,99.00%,99.20%,99.20%,99.00%,98.00%,96.00%,85.00%,66.00%,11.80%,Not Specified,Not Specified,Not Specified,
205,Hoya,Niobophosphate,E-FDS1-W,1.9229,20.88,20.71,1.9104,1.9229,1.9332,1.9546,1.9828,0.04419,0.0125,0.0282,0.2825,0.639059,0.0283,"Schott, n=2 m=4",3.504463900E+00,-2.03E-02,5.380270000E-02,6.287419200E-03,-5.69E-04,7.355938700E-05,405,381,99.90%,99.80%,99.80%,99.60%,98.90%,97.60%,71.00%,3.90%,33.78%,Not Specified,Not Specified,Not Specified,Transmission improved type.
871,CDGM,Lanthanide,H-ZLaF89L,1.9538,32.31,32.09,1.9451,1.9538,1.9607,1.9747,1.9921,0.02952,0.00862,0.01743,0.292,0.5904,-0.0002,"Schott, n=2 m=4",3.669328060E+00,-1.37E-02,4.842163610E-02,1.321604820E-03,2.421725800E-05,8.501243510E-06,,360,99.60%,99.60%,99.60%,99.30%,97.70%,94.40%,75.40%,52.60%,17.13%,Not Specified,Not Specified,Available,
353,Hoya,Lanthanide,M-TAFD405,1.9515,29.83,29.61,1.9422,1.9515,1.959,1.9741,1.9931,0.0319,0.00927,0.01899,0.2906,0.595298,0.001,"Schott, n=2 m=4",3.654235200E+00,-2.12E-01,6.508827157E-01,1.319260974E-01,-2.56E-02,1.319370945E-02,415,364,99.90%,99.80%,99.60%,98.90%,96.50%,92.40%,69.40%,40.20%,21.55%,Suitable,Not Specified,Not Specified,Consult manufacturer for available forms of supply.
358,Hoya,Niobophosphate,MP-FDS1,1.9229,20.88,20.71,1.9104,1.9229,1.9332,1.9546,1.9827,0.0442,0.0125,0.0281,0.2828,0.636878,0.0263,"Schott, n=2 m=4",3.498422400E+00,-2.29E-01,7.790856806E-01,2.573676183E-01,-7.32E-02,4.202361999E-02,436,391,99.70%,99.50%,99.30%,98.30%,95.30%,89.60%,20.90%,0.00%,40.57%,Suitable,Not Specified,Not Specified,Glass for pressed preforms.
213,Hoya,Niobophosphate,FDS24-W,1.9212,23.96,23.77,1.9102,1.9212,1.9302,1.9487,1.9725,0.03845,0.011,0.0238,0.2858,0.620286,0.015,"Schott, n=2 m=4",3.512632700E+00,-1.53E-02,5.393606100E-02,3.494936900E-03,-1.80E-04,3.440318100E-05,405,367,99.30%,99.00%,98.70%,98.20%,96.70%,94.20%,75.90%,41.40%,20.35%,Not Specified,Not Specified,Not Specified,Transmission improved type.
